Butoane,Etichete,
Autentificare,Autentificare,
null,Selectati limba,
null,Utilizator,
null,Parola,
null,Bun venit pe pagina Administratorului!,
null,Selectati limba,
Adaugati utilizatorul,Adaugati un nou utilizator in aplicatie,
null,Utilizator,
null,Parola,
null,Rol,
null,Salariu,
null,Locatia librariei,
Stergeti utilizatorul,Stergeti un utilizator prin introducerea username-ului acestuia in casuta de mai sus ,
Actualizati salariul,Actualizati salariul unui utilizator prin introducerea username-ului acestuia si noul salariu in casutele de mai sus,
Vizualizati lista,Vizualizati lista tuturor utilizatorilor,
Filtrati lista,Pentru a filtra lista utilizatorilor dupa tipul acestora selectati rolul dorit in casuta de mai sus,
null,Bun venit pe pagina Managerului!,
null,Selectati limba,
null,Selectati locatia librariei careia doriti sa-i vizualizati lista de carti,
Vizualizati lista,null,
null,Selectati criteriul dupa care doriti filtrarea listei,
domeniu,null,
disponibilitate,null,
editura,null,
autor,null,
pret,null,
null,Lista,
Cauta cartea dupa titlu,null,
null,Salvati lista cartilor in mai multe formate,
Generati graficul corespunzator statisticilor legate de numarul cartilor din fiecare domeniu,null,
null,Bun venit pe pagina Angajatului!,
null,Selectati limba,
Vizualizati lista tuturor cartilor din librarie sortata dupa autor si titlu,null,
null,Selectati criteriul dupa care doriti filtrarea listei,
domeniu,null,
disponibilitate,null,
editura,null,
autor,null,
pret,null,
null,Lista,
null,Efectuati operatii asupra cartilor din aceasta librarie,
null,titlu,
null,autor,
null,domeniu,
null,disponibilitate,
null,editura,
null,pret,
Adaugati cartea,null,
Stergeti cartea,null,
Actualizati cartea,null,
null,Pentru Stergere introduceti doar titlul si autorul cartii pe care doriti sa o stergeti,
null,Pentru Actualizare introduceti titlul si autorul cartii pe care doriti sa o actualizati iar in campul disponibilitate introduceti noua valoare cu care va fi actualizata cartea, 
Cauta cartea dupa titlu,null,
Vindeti cartea,null,
null,Salvati lista cartilor in mai multe formate,
